[Footer]\r\n[Header]\r\n2018-09-14 11:06:41,139 [1] INFO  CSV_Processor.Program Started: 14/09/2018 11:06:41 AM
2018-09-14 11:06:41,163 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:09:27,694 [1] ERROR CSV_Processor.Program Expected number of columns don't match. Please verify.
2018-09-14 11:09:27,718 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:09:27,742 [1] INFO  CSV_Processor.Program Creating datatable...
[Footer]\r\n[Header]\r\n2018-09-14 11:10:13,955 [1] INFO  CSV_Processor.Program Started: 14/09/2018 11:10:13 AM
2018-09-14 11:10:13,972 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:10:33,112 [1] ERROR CSV_Processor.Program Expected number of columns don't match. Please verify.
[Footer]\r\n[Header]\r\n2018-09-14 11:11:34,728 [1] INFO  CSV_Processor.Program Started: 14/09/2018 11:11:34 AM
2018-09-14 11:11:34,739 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:12:06,887 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:12:06,910 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 11:12:11,203 [1] INFO  CSV_Processor.Program Median is: 1.25
[Footer]\r\n[Header]\r\n2018-09-14 11:12:29,951 [1] INFO  CSV_Processor.Program Started: 14/09/2018 11:12:29 AM
2018-09-14 11:12:29,978 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:12:42,120 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:12:42,140 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 11:12:45,374 [1] INFO  CSV_Processor.Program Median is: 1.25
[Footer]\r\n[Header]\r\n2018-09-14 11:16:12,059 [1] INFO  CSV_Processor.Program Started: 14/09/2018 11:16:12 AM
2018-09-14 11:16:12,069 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:16:15,030 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:16:15,049 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 11:16:18,308 [1] INFO  CSV_Processor.Program Median is: 1.25
[Footer]\r\n[Header]\r\n2018-09-14 11:33:52,287 [1] INFO  CSV_Processor.Program Started: 14/09/2018 11:33:52 AM
2018-09-14 11:33:52,304 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:33:54,404 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 11:33:54,426 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 11:33:56,881 [1] INFO  CSV_Processor.Program Median is: 1.25
[Footer]\r\n[Header]\r\n2018-09-14 13:12:21,073 [1] INFO  CSV_Processor.Program Started: 14/09/2018 1:12:21 PM
2018-09-14 13:12:21,084 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:12:28,736 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:12:28,757 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 13:12:32,335 [1] INFO  CSV_Processor.Program Median is: 1.25
[Footer]\r\n[Header]\r\n2018-09-14 13:16:17,085 [1] INFO  CSV_Processor.Program Started: 14/09/2018 1:16:17 PM
2018-09-14 13:16:17,099 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:16:17,119 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:16:17,146 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 13:16:19,806 [1] INFO  CSV_Processor.Program Median is: 1.25
2018-09-14 13:41:21,386 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 13:41:21,392 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 1:41:21 PM
[Footer]\r\n[Header]\r\n2018-09-14 13:41:53,492 [1] INFO  CSV_Processor.Program Started: 14/09/2018 1:41:53 PM
2018-09-14 13:41:53,504 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:41:53,520 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:41:53,544 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 13:41:58,481 [1] INFO  CSV_Processor.Program Median is: 1.25
2018-09-14 13:41:58,486 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 13:41:58,486 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 1:41:58 PM
[Footer]\r\n[Header]\r\n2018-09-14 13:45:56,685 [1] INFO  CSV_Processor.Program Started: 14/09/2018 1:45:56 PM
2018-09-14 13:45:56,700 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:45:56,718 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 13:45:56,751 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 13:46:20,554 [1] INFO  CSV_Processor.Program Median is: 1.25
2018-09-14 13:46:41,166 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 13:46:41,166 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 1:46:41 PM
[Footer]\r\n[Header]\r\n2018-09-14 15:10:17,274 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:10:17 PM
2018-09-14 15:10:17,342 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
[Footer]\r\n[Header]\r\n2018-09-14 15:11:39,062 [1] INFO  CSV_Processor.Program Started: 14/09/2018 3:11:38 PM
2018-09-14 15:11:39,124 [1] INFO  CSV_Processor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-14 15:11:39,157 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-14 15:11:39,159 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 15:11:39,198 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 15:11:39,225 [1] INFO  CSV_Processor.Program Median is: 1.25
2018-09-14 15:11:39,257 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 3:11:39 PM
2018-09-14 15:11:39,258 [1] INFO  CSV_Processor.Program Started Processing: ./LP_214612534_20150907T084333712.csv
2018-09-14 15:11:39,268 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_214612534_20150907T084333712.csv
2018-09-14 15:11:39,268 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 15:11:39,275 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 15:11:39,277 [1] INFO  CSV_Processor.Program Median is: 0
2018-09-14 15:11:39,283 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 3:11:39 PM
2018-09-14 15:11:39,283 [1] INFO  CSV_Processor.Program Started Processing: ./LP_214612653_20150907T220027915.csv
2018-09-14 15:11:39,298 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./LP_214612653_20150907T220027915.csv
2018-09-14 15:11:39,298 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 15:11:39,307 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 15:11:39,310 [1] INFO  CSV_Processor.Program Median is: 0.46
